dataset,year,province_code,province,gender_ideation_mean,gender_ideation_sd,n_respondents
CFPS,2014,61,Shaanxi,0.5831,0.1690,690
CFPS,2014,62,Gansu,0.5870,0.1679,3647
CFPS,2014,64,Ningxia,0.5625,0.1875,3
CFPS,2020,11,Beijing,0.4457,0.2301,183
CFPS,2020,12,Tianjin,0.5152,0.2102,148
CFPS,2020,13,Hebei,0.5367,0.1918,1495
CFPS,2020,14,Shanxi,0.5635,0.1865,1149
CFPS,2020,15,Inner Mongolia,0.5703,0.1628,16
CFPS,2020,21,Liaoning,0.5496,0.2015,1845
CFPS,2020,22,Jilin,0.5523,0.2049,422
CFPS,2020,23,Heilongjiang,0.5334,0.2034,629
CFPS,2020,31,Shanghai,0.4917,0.2027,1175
CFPS,2020,32,Jiangsu,0.5269,0.2145,532
CFPS,2020,33,Zhejiang,0.5054,0.2035,456
CFPS,2020,34,Anhui,0.5483,0.2067,401
CFPS,2020,35,Fujian,0.5630,0.1950,252
CFPS,2020,36,Jiangxi,0.5961,0.1968,389
CFPS,2020,37,Shandong,0.5466,0.2000,1233
CFPS,2020,41,Henan,0.5402,0.1879,2663
CFPS,2020,42,Hubei,0.4926,0.2053,328
CFPS,2020,43,Hunan,0.5287,0.1981,542
CFPS,2020,44,Guangdong,0.5289,0.2031,2060
CFPS,2020,45,Guangxi,0.5250,0.1977,427
CFPS,2020,46,Hainan,0.4821,0.2126,7
CFPS,2020,50,Chongqing,0.4992,0.2265,175
CFPS,2020,51,Sichuan,0.5248,0.2012,1026
CFPS,2020,52,Guizhou,0.5279,0.2041,662
CFPS,2020,53,Yunnan,0.5126,0.2000,763
CFPS,2020,54,Tibet,0.3875,0.2044,5
CFPS,2020,61,Shaanxi,0.5468,0.1909,554
CFPS,2020,62,Gansu,0.5429,0.1933,3024
CFPS,2020,63,Qinghai,0.4844,0.2294,12
CFPS,2020,64,Ningxia,0.4648,0.1707,16
CFPS,2020,65,Xinjiang,0.4921,0.2193,103
