province,gdp_2024,avg_income_2024,eduy_gt25_2020,eduy_m_gt25_2020,eduy_f_gt25_2020,emp_2020,emp_m_2020,emp_f_2020,cfps_ideation_2020,leader_gap_mf,housework_gap_fm,rear_gap_fm
上海,53926.7,239557.0,11.650608683441414,11.874122453884864,11.41438496067786,0.73822402862318,0.7886245956420084,0.6763686582085426,2.965141,0.09090488,0.80508983,1.877551
云南,31534.1,110206.0,8.224916061658615,8.61989411973474,7.805073606644735,0.7212597157608508,0.7743039610290211,0.6595652486958116,3.0513926,0.053818136,0.7549124,2.6769524
内蒙古,26314.6,113172.0,9.647732857884003,9.966500472088333,9.319087487342134,0.6133812651465165,0.7095703809188013,0.5009562320456431,,0.0,0.6142857,9.157143
北京,49843.1,224608.0,12.606510028076176,12.666365324538985,12.54486588825289,0.6737838984556133,0.7253850597321887,0.6135969924506329,2.7827868,0.10186759,1.5291303,0.8068182
吉林,14361.2,98418.0,9.812518626037141,9.976551140132235,9.651644795169583,0.61966691567197,0.7014799138439795,0.52795183735274,3.2091231,0.07295504,0.84833646,4.318713
四川,64697.0,110177.0,8.716064379343324,9.083087493225438,8.348139657789114,0.7021840829438853,0.7739776771947797,0.6236441826358176,3.0967188,0.094991505,0.9071325,2.2550004
天津,18024.3,142437.0,10.921122318090935,11.051651834456337,10.785662358838035,0.5944270951486864,0.6721040373535999,0.5027194577398636,3.0608108,0.14916667,1.5889775,4.1022725
宁夏,5502.8,120355.0,9.272581112058646,9.736390018261659,8.797528004474382,0.6349992747767348,0.74851866071888,0.5102862584631708,,-0.375,0.26999998,2.35
安徽,50625.2,105416.0,8.811248400305967,9.424414108277443,8.204720345908887,0.6522461944543508,0.7719438777924734,0.5237913473762319,3.19375,0.05057916,1.2226627,3.9619966
山东,98565.8,108131.0,9.309583934957379,9.801413929259596,8.826797012851078,0.668781341411643,0.7599140774585387,0.5662117115113047,3.1863265,0.058701694,1.2753731,3.9289598
山西,25494.7,97781.0,9.990727571089177,10.186151248453166,9.78873205651066,0.5789022356795512,0.7111630668154248,0.4271884984025559,3.2532752,0.084462956,1.4415262,2.7199197
广东,141633.8,135395.0,10.020486437479288,10.32312139142956,9.687837252185206,0.7068439463607541,0.7848029608255236,0.6113573670644263,3.112162,0.122427374,1.1586078,2.3424158
广西,28649.4,96547.0,9.054944751497203,9.414845098442505,8.680934824860957,0.6616388780176975,0.7197302589217065,0.5942530428141672,3.103428,0.12410393,0.73008716,2.059329
新疆,20534.1,116329.0,9.648456912517243,9.779693726910434,9.50874124774389,0.6566454842871262,0.7241198102167645,0.5825128634251429,2.9684465,0.18527177,1.2714286,2.3460526
江苏,137008.0,129220.0,9.797409319121654,10.269584362012706,9.328613754445549,0.6939493119405482,0.7825974596574015,0.5936350511040575,3.1063328,0.1414662,1.2836145,2.1805801
江西,34202.5,95750.0,9.101623039880883,9.598714738976438,8.60371001221121,0.6738113159507005,0.7544535626409341,0.581947067497995,3.385659,0.070707075,1.3138958,1.699372
河北,47526.9,97046.0,9.431639735540857,9.67898954123575,9.1888075033972,0.6540128845100348,0.7510673086572405,0.5449610690016511,3.1456375,0.059770778,1.1289865,2.9618094
河南,63590.0,86199.0,9.295386682891976,9.65750016866483,8.955009334989342,0.6330979023003959,0.7149812010866394,0.5467451123310547,3.1619146,0.07338719,0.82698643,2.4352548
浙江,90130.6,137239.0,9.35588495832084,9.69487115331798,8.993225754321003,0.7495767230028708,0.826368985535767,0.656318619601845,3.023077,0.124146335,1.4395827,2.1587338
海南,7935.7,117433.0,9.715663791580036,10.147349695939482,9.245991813618165,0.6490621804344969,0.7058648520150858,0.5797726423653733,,,,
湖北,60013.0,108795.0,9.571789862938846,9.990758864179497,9.144379751045664,0.6835999839462344,0.7689538290920754,0.5846374212701719,2.9638462,0.08291316,1.0829395,2.5315819
湖南,53231.0,97170.0,9.399712751302335,9.706558721430902,9.09040946792707,0.6253847684521566,0.7187322934529333,0.5206566136614689,3.112663,0.14945251,1.0198334,2.3267467
甘肃,13002.9,101173.0,8.588692730566095,9.221423427974509,7.949337463178863,0.585104091172459,0.6814750996856735,0.48152832758949643,3.1718128,0.05790689,0.7708938,2.2163916
福建,57761.0,112377.0,9.201635269409826,9.711135045442163,8.677788292180654,0.7308566836090286,0.8180029366913842,0.63130896507482,3.242,0.15367965,1.8153671,3.5032294
西藏,2764.9,161694.0,6.004690958985494,6.74038671901747,5.177159511657221,0.5096981567533392,0.5673144615989129,0.4420346282890626,,0.0,,-2.0
贵州,22667.1,103867.0,8.077731598734452,8.753006605272793,7.3953970275514775,0.612730677713921,0.6951538910528613,0.5205974864813075,3.1081805,0.16814989,0.3653748,2.2084355
辽宁,32612.7,99069.0,10.014956677654657,10.168647932733647,9.864968873966827,0.6084834143575552,0.6887104943926431,0.5155395336450955,3.19951,0.0626095,0.70200646,2.7462883
重庆,32193.2,117546.0,9.24680862035997,9.50985573347748,8.984482583994403,0.6464655346237382,0.7319307118383441,0.5530895618432562,2.9812138,0.20676693,0.78711486,2.976373
陕西,35538.8,111921.0,9.816800469424841,10.146362716305195,9.479412908772911,0.610988062250755,0.7120441728928371,0.49610447815641495,3.1841621,0.012642041,0.991827,2.6406386
青海,3950.8,122787.0,8.331906874563836,8.865301153570384,7.775529280479149,0.5633709255390357,0.6426110555085072,0.4751104060369592,,0.33333334,1.1666667,0.0
黑龙江,16476.9,99007.0,9.58108223485316,9.74108194249139,9.42299734871619,0.5853708906867549,0.6683352034017088,0.49124053834974607,3.132775,0.052806653,1.0117793,3.7624998
